Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
296,Nuno Tavares,pt POR,DF,Arsenal,21,2000,22,13,1176,13.1,1,1,1,0,0,2,0,2.3,2.3,1.2,3.5,a65c844b
297,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,4,0,2,3,0,6.6,4.9,1.1,6.0,d5dd5f1f
298,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1c0eea98
299,Dan Burn,eng ENG,DF,Brighton,29,1992,13,12,1022,11.4,1,0,1,0,0,4,0,1.6,1.5,0.5,2.0,b2d31e83
300,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,13,12,1014,11.3,0,1,0,0,0,2,1,1.3,1.3,0.4,1.7,2b91cf8e
301,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,f127d782
302,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,14,12,1002,11.1,1,0,1,0,0,5,0,0.5,0.5,0.1,0.6,c951a6df
303,Christian Kabasele,be BEL,DF,Watford,30,1991,16,12,1193,13.3,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,914ab9a1
304,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,1598599e
305,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,2,0,0,2,0,2.4,2.4,1.7,4.1,1d5cab82
306,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,0,0,0,0,0.7,0.7,0.9,1.6,30d4a2e5
307,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,2.0,2.0,4.1,6.1,c4486bac
308,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,1.2,1.2,0.3,1.5,2944f86f
309,Mads Roerslev,dk DEN,DF,Brentford,22,1999,21,12,1240,13.8,1,1,1,0,0,1,0,0.5,0.5,0.6,1.1,57c94db2
310,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,5,0,0.8,0.8,1.4,2.2,1b4f1169
311,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,19,12,1102,12.2,0,1,0,0,0,0,0,0.5,0.5,0.4,0.9,ae59b359
312,John Stones,eng ENG,DF,Manchester City,27,1994,14,12,1119,12.4,1,0,1,0,0,0,0,1.1,1.1,0.3,1.4,5eecec3d
313,Yoane Wissa,cd COD,FW,Brentford,24,1996,30,12,1284,14.3,7,1,7,0,0,0,0,4.1,4.1,1.0,5.1,2500cef9
314,Marc Albrighton,eng ENG,MFDF,Leicester City,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,0.5,0.5,1.7,2.2,b827d5b3
315,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,4,0,0,3,0,5.6,5.6,1.5,7.1,ab070c55
316,Sam Byram,eng ENG,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,0,3,0,0.8,0.8,0.4,1.1,1bf811d4
317,Cucho,co COL,MFFW,Watford,22,1999,25,11,1147,12.7,5,2,5,0,0,3,0,2.9,2.9,2.0,4.9,71b47ab9
318,Luis Díaz,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,4,0,0,0,0,4.4,4.4,3.0,7.4,4a1a9578
319,Kieran Dowell,eng ENG,MF,Norwich City,23,1997,19,11,912,10.1,1,1,1,0,0,0,0,1.2,1.2,1.5,2.8,2f6ec02a
320,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,11,1034,11.5,5,1,5,0,0,4,0,3.0,3.0,1.1,4.1,82518f62
321,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,20,2000,15,11,962,10.7,1,2,1,0,0,1,0,2.5,2.5,2.4,5.0,15f3ec41
322,James Justin,eng ENG,DF,Leicester City,23,1998,13,11,998,11.1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,fb614c44
323,Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11,11,922,10.2,0,0,0,0,0,2,0,0.3,0.3,0.0,0.4,2d61d13a
